location,parameter,value,unit,sourceName,coordinates.latitude,coordinates.longitude,date.utc,date.local
Los Angeles Downtown,no2,25.0,ppb,Dummy Data Generator,34.05,-118.24,2025-05-19T23:13:03.651381,2025-05-19T19:13:03.651385
Los Angeles Downtown,no2,25.0,ppb,Dummy Data Generator,34.05,-118.24,2025-05-19T23:13:03.651392,2025-05-19T19:13:03.651394
Los Angeles Downtown,no2,25.0,ppb,Dummy Data Generator,34.05,-118.24,2025-05-19T23:13:03.651399,2025-05-19T19:13:03.651401
Los Angeles Downtown,no2,25.0,ppb,Dummy Data Generator,34.05,-118.24,2025-05-19T23:13:03.651405,2025-05-19T19:13:03.651407
Los Angeles Downtown,no2,25.0,ppb,Dummy Data Generator,34.05,-118.24,2025-05-19T23:13:03.651412,2025-05-19T19:13:03.651414
Los Angeles Downtown,no2,25.0,ppb,Dummy Data Generator,34.05,-118.24,2025-05-19T23:13:03.651418,2025-05-19T19:13:03.651420
Los Angeles Downtown,no2,25.0,ppb,Dummy Data Generator,34.05,-118.24,2025-05-19T23:13:03.651425,2025-05-19T19:13:03.651427
Los Angeles Downtown,no2,25.0,ppb,Dummy Data Generator,34.05,-118.24,2025-05-19T23:13:03.651431,2025-05-19T19:13:03.651433
Los Angeles Downtown,no2,25.0,ppb,Dummy Data Generator,34.05,-118.24,2025-05-19T23:13:03.651438,2025-05-19T19:13:03.651439
Los Angeles Downtown,no2,25.0,ppb,Dummy Data Generator,34.05,-118.24,2025-05-19T23:13:03.651444,2025-05-19T19:13:03.651446
