location,parameter,value,unit,sourceName,coordinates.latitude,coordinates.longitude,date.utc,date.local
New York Downtown,no2,25.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.658785,2025-05-19T19:13:03.658790
New York Downtown,no2,25.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.658795,2025-05-19T19:13:03.658797
New York Downtown,no2,25.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.658801,2025-05-19T19:13:03.658802
New York Downtown,no2,25.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.658806,2025-05-19T19:13:03.658807
New York Downtown,no2,25.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.658811,2025-05-19T19:13:03.658813
New York Downtown,no2,25.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.658817,2025-05-19T19:13:03.658818
New York Downtown,no2,25.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.658822,2025-05-19T19:13:03.658823
New York Downtown,no2,25.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.658827,2025-05-19T19:13:03.658829
New York Downtown,no2,25.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.658832,2025-05-19T19:13:03.658834
New York Downtown,no2,25.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.658838,2025-05-19T19:13:03.658839
