location,parameter,value,unit,sourceName,coordinates.latitude,coordinates.longitude,date.utc,date.local
London Downtown,o3,45.0,ppb,Dummy Data Generator,51.51,-0.13,2025-05-20T02:16:15.503399,2025-05-19T22:16:15.503402
London Downtown,o3,45.0,ppb,Dummy Data Generator,51.51,-0.13,2025-05-20T02:16:15.503406,2025-05-19T22:16:15.503407
London Downtown,o3,45.0,ppb,Dummy Data Generator,51.51,-0.13,2025-05-20T02:16:15.503411,2025-05-19T22:16:15.503412
London Downtown,o3,45.0,ppb,Dummy Data Generator,51.51,-0.13,2025-05-20T02:16:15.503440,2025-05-19T22:16:15.503442
London Downtown,o3,45.0,ppb,Dummy Data Generator,51.51,-0.13,2025-05-20T02:16:15.503446,2025-05-19T22:16:15.503447
London Downtown,o3,45.0,ppb,Dummy Data Generator,51.51,-0.13,2025-05-20T02:16:15.503450,2025-05-19T22:16:15.503451
London Downtown,o3,45.0,ppb,Dummy Data Generator,51.51,-0.13,2025-05-20T02:16:15.503455,2025-05-19T22:16:15.503456
London Downtown,o3,45.0,ppb,Dummy Data Generator,51.51,-0.13,2025-05-20T02:16:15.503459,2025-05-19T22:16:15.503460
London Downtown,o3,45.0,ppb,Dummy Data Generator,51.51,-0.13,2025-05-20T02:16:15.503463,2025-05-19T22:16:15.503464
London Downtown,o3,45.0,ppb,Dummy Data Generator,51.51,-0.13,2025-05-20T02:16:15.503467,2025-05-19T22:16:15.503468
